Bag Info,Titanium %,Lithium %,Copper %,Nickel %,Cobalt %,Manganese %,Aluminium %,Magnesium %,Cadmium %,Zinc %,Lead %,Chromium %,Iron %,Moisture %
1,0.9343481618551702,3.6853666139621954,3.0783062898026987,5.015937883458345,0.5519426872704136,2.5804816102596035,2.1712113692382515,0.11499671454349841,0.08368651361186874,24.44914728182878,49.75192354987873,2.6997085157267575,1.3473903089647687,2.547545822530925
2,0.9304865196482435,4.317810611886726,1.8299954716405868,6.814483065079228,3.2460233882540863,4.237556368118571,3.9852235304951606,0.3960897376369994,0.18700754397889335,39.38672806304142,25.879764014917573,3.7368884533198643,2.492182001701013,2.5373108614396847
3,1.3262803058088026,4.442547525740734,1.351317275566211,4.477317861916941,0.7792239035276536,0.18033032601333945,2.7143209333426945,0.6665840733759714,0.0644818939218285,30.30767765122976,46.04428440587048,0.0496624353518158,3.4568038665293663,2.915824268408344
4,1.6823332118256373,5.061474715231333,1.6045737549184338,7.658369466810283,5.060389045086001,3.5900325457657076,5.274114414342281,0.2764508551183589,0.6763096573612648,44.44058548722787,9.29040314391963,4.065686336535938,7.819832691965272,2.6427293908145906
5,1.453893919782551,2.133084152347274,2.3394195520367345,10.363793517182765,4.827137598160779,2.4697567349425293,2.540242815238213,0.65749436122978,0.8431430592376447,54.562083234420854,4.171613150469743,3.3205596817347436,6.080542443024675,2.8222857142406146
6,2.0051216979937596,5.037221216832425,1.9547943221076072,4.742627832607221,0.6050682280852532,0.041035348394800546,1.4902851625203115,0.4213212777378384,1.043002388619709,5.48146519089115,62.12484913131019,3.690113895021158,7.431180852587628,2.5027050635977988
7,2.05062608519979,0.37315606496393716,1.8172486452069234,13.336483152552187,0.44559637552467274,0.05113739731517333,1.1985647394214956,0.2520244171435372,0.3652841670779454,43.20361441816939,20.497362128916443,5.941903969229639,5.5852964938650445,2.721582332857673
8,2.388680493186686,15.097651659498505,1.319904099282923,9.697733439351955,26.459508413955675,0.12691830240920893,11.639814803176028,2.230779967036909,1.951424806025604,6.537230518325503,4.698312026407795,0.7011012630704,6.889992896255606,2.717850464396512
9,1.566591385472803,0.15138722361141835,3.084539714533683,14.82250465210852,13.530988536592334,7.038046084442991,10.478510490792218,1.4726959356360945,0.5860837730668529,29.11695112830278,7.688417834852997,1.323435381908723,2.655003203403278,2.704564232511555
10,1.2689702512276146,3.8036364226035144,0.20981989775505877,6.916775761087471,7.576550501438387,3.50167394933951,2.206698568132579,0.17384860387857137,0.16637248229812257,41.30458328358112,19.98070220724767,4.049569248395798,5.9161576912586735,2.820950414151997
11,2.3544697119793527,0.6156525489189303,4.075166943734478,11.71690100536242,6.488803791435614,8.079851019348169,0.1751294069048809,1.1065842698255506,0.3676909837620383,13.213830203484555,22.680854181308128,4.046600645551692,14.73638166945945,2.9092434905625773
12,1.5275870183483384,5.115219134735257,3.8284266430617246,14.221340064006105,9.976221272157286,0.7666082578134152,6.185344387995537,1.4962738000839473,1.58888018356919,3.4066559662109164,34.60219560984471,6.511198532188474,4.469950452803322,2.526733162863688
