Date,Cobalt,Copper,Nickel,Lithium,Aluminium,Zinc,Lead,Titanium,Manganese,Magnesium,Cadmium,Chromium,Iron
2021-01-01,40022.2569822235,9997.904571043571,17089.00437831296,14844.804907539215,2254.747812412796,2789.057119718704,2360.856487152279,5941.668855105655,1591.392860028935,3365.462913322562,1153.8485871441078,10914.643346724857,203.63923050138385
2021-01-02,37974.58540095306,8235.214989518077,17973.23787358647,6542.036965565907,2690.3196690386235,3347.3752874710417,2151.0075016023084,4509.155904078878,1358.3301015745385,3794.259046888168,1390.6695612078324,10491.90361569377,145.87755562620987
2021-01-03,34685.06275831715,9067.855630452881,17290.424138308957,10264.50141431532,2079.83711073959,2869.8261861020046,2004.095843203952,5087.190800985922,1529.1365968442292,3341.295237520001,1362.3323248547358,11619.193936981575,154.4111783557183
2021-01-04,34461.11246150904,8152.545288710479,17168.99147174185,9095.173388196428,2732.224803733342,2887.2889842247073,2271.969867006161,5460.232823896094,1508.4588075011889,3402.0065550309782,1339.0370273186988,10241.363691250272,214.29484444386367
2021-01-05,41357.77634204445,7959.408496547521,17494.555471780663,16982.84464892964,2637.18879980593,3272.106041030233,2201.543900695862,5543.774853641324,1094.6904677995547,2898.748888185595,1296.165816409361,11864.087735923076,198.32844933505118
2021-01-06,40160.84480481598,9560.598603788345,19094.94869895068,16285.502483647879,2634.979145110949,2992.2475734946397,2179.5397922016855,5548.855022941234,1400.6406490954582,3478.8802268063173,1099.860828224828,11638.391849835296,143.06520944963071
2021-01-07,50088.768311874985,8029.806102615952,16537.756625134476,8599.86458394954,2776.2621312186884,2640.6259715435126,2005.871007710777,4225.209275257917,1368.5588695825359,3120.8336247662924,1002.450687703963,11409.915871969446,136.4389856918809
2021-01-08,46256.02125423105,9998.252188546692,18017.279192272916,8983.486120078385,2296.8813634357753,2746.0420092770196,2261.929982530647,4862.775790130348,1596.4115018735847,2803.4347889170895,1020.387869492059,11170.142967788139,161.27451431764268
2021-01-09,45856.667049250216,8228.16947818539,18863.3183661299,6980.725569003838,2623.1783020858256,3112.781420639375,1994.6554438098283,5898.418341245918,1087.5565863269944,2400.6913602834597,1055.6837075151675,12440.465179688335,186.02340610880117
2021-01-10,40963.2674185163,10157.182499038036,17070.580467597978,10429.123287161256,2517.9556448044286,2881.4517181467513,2031.7446077759532,5561.660293962453,1449.120810166713,3367.047521392212,1382.7828537342837,12816.573620827137,160.55212535912926
2021-01-11,33871.069000144074,9998.142356436507,19332.327193767705,14048.290805915662,2010.5424359427207,3438.5382391604226,2106.315513398237,4879.623011820548,1552.2673663041612,2351.042163830325,1388.5012783663012,10560.92527339188,205.2126379188248
2021-01-12,49642.39307411748,8842.490500816264,16432.90738530297,8275.807085799388,2708.937490025631,3351.493183797106,2261.568208794624,4895.3338842177245,1348.0941383057614,3207.493214762457,1047.382380917823,11928.278541712152,214.44648706647405
2021-01-13,47945.860472283144,8601.829063523044,16356.332020699941,6538.118534318609,2544.919110529462,3243.185505167731,2195.6060839027173,4111.816157548528,1598.8558523274862,2676.0705163390926,1016.296234100797,11917.779509143895,164.2274199605822
2021-01-14,36943.69791408044,8844.884843712423,16399.21201148055,16151.465476985755,2225.4592510334974,3059.135019691975,2264.0425349083093,5969.268782153877,1352.4430553692853,3032.7870301742128,1520.4699489084537,12654.108981736474,166.1639586080077
2021-01-15,40039.58421208834,8131.910484572876,19254.056989915312,14983.776577254555,2455.8375933248044,2994.815058959296,2261.050242088906,4040.6124284419334,1297.5054173570884,3080.1215008540635,1116.1754181764595,12150.303018016402,150.30930158035173
2021-01-16,36228.75589492239,7845.867617470738,16659.13923648011,10462.171625379948,2214.0038549852356,3255.1416387301283,2061.741053235534,5994.486641850823,1111.068732339316,3171.663897917065,1214.293630176173,12510.75130449327,192.63738715947048
2021-01-17,34407.503940113034,8572.112924015983,16417.638574510518,11482.78042804553,2493.192419400901,2988.9900581205507,1963.26294457921,4271.602995321962,1519.4917465655706,2747.507400510479,1119.1538489882753,12556.583720635872,133.00314487518264
2021-01-18,49187.5307030835,8945.961430290343,17176.22836245891,8501.707963352175,2289.8471717242514,3173.011678375895,2294.057119316024,4777.954024123167,1499.0494106349345,3089.0962908309293,1599.4455358867467,11426.02564403247,137.18074792848526
